ORIGEN;NAVIERA LCL;DESTINO;VIGENCIA DESDE ;VIGENCIA HASTA;TIEMPO DE TRANSITO;MONEDA;FLETE MARITIMO LCL
BALTIMORE;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;22-22;DOLAR;180.00
BALTIMORE;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;20-20;DOLAR;75.00
BALTIMORE;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;20-20;DOLAR;75.00
BALTIMORE;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;29-29;DOLAR;149.00
BANGALORE;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;85-85;DOLAR;63.00
BANGALORE;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;60-60;DOLAR;170.00
BANGKOK;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;50-50;DOLAR;18.00
BANGKOK;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;50-50;DOLAR;148.00
BANGKOK;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;70-70;DOLAR;35.00
BARCELONA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;28;EUROS;45.00
BARCELONA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;28;EUROS;45.00
BARCELONA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;28;EUROS;45.00
BARCELONA;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;01/12/2025;31/12/2025;28-28;EUROS;41.00
BARCELONA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;26-26;EUROS;45.00
BARCELONA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;26-26;EUROS;45.00
BARCELONA;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;27-27;EUROS;41.00
BELAWAN;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;60-60;DOLAR;135.00
BILBAO;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;01/12/2025;31/12/2025;30-30;EUROS;55.00
BILBAO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;60-60;EUROS;65.00
BILBAO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;60-60;EUROS;65.00
BILBAO;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;33-33;EUROS;56.00
BOSTON;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;22-22;DOLAR;180.00
BOSTON;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;29-29;DOLAR;208.00
BUENAVENTURA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;3;DOLAR;25.00
BUENAVENTURA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;3;DOLAR;25.00
BUENAVENTURA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;3;DOLAR;25.00
BUENAVENTURA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;7;DOLAR;45.00
BUENAVENTURA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;7;DOLAR;45.00
BUENAVENTURA;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;6;DOLAR;24.00
BUENAVENTURA;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;6-6;DOLAR;25.00
BUENOS AIRES;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;33-33;DOLAR;75.00
BUSAN;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;37;DOLAR;8.00
BUSAN;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;33-33;DOLAR;6.00
BUSAN;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;30;DOLAR;6.00
BUSAN;MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.;GUAYAQUIL;15/12/2025;31/12/2025;35;DOLAR;7.00
CALCUTTA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;66-66;DOLAR;61.00
CALCUTTA;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;60-60;DOLAR;170.00
CALCUTTA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;70-70;DOLAR;35.00
CALLAO;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;2;DOLAR;1.00
CALLAO;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;2;DOLAR;1.00
CALLAO;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;2;DOLAR;1.00
CALLAO;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;2-2;DOLAR;1.00
CALLAO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;4;DOLAR;5.00
CALLAO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;4;DOLAR;5.00
CALLAO;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;3;DOLAR;1.00
CALLAO;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;3-3;DOLAR;1.00
CAP TOWN;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;58-58;DOLAR;240.00
CAP TOWN;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;58-58;DOLAR;240.00
CARTAGENA;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;26-26;DOLAR;158.00
CEBU;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;46-46;DOLAR;48.00
CEBU;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;65-65;DOLAR;170.00
CEBU;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;50-50;DOLAR;45.00
CHANGSHA;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;45-45;DOLAR;30.00
CHARLESTON;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;20-20;DOLAR;160.00
CHARLESTON;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;17-17;DOLAR;220.00
CHARLOTTE;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;22-22;DOLAR;170.00
CHARLOTTE;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;17-17;DOLAR;192.00
CHENGDU;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;43-43;DOLAR;41.00
CHENGDU;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;45-45;DOLAR;30.00
CHENNAI;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;70-70;DOLAR;26.00
CHENNAI;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;60-60;DOLAR;165.00
CHENNAI;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;70-70;DOLAR;45.00
CHICAGO;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;22-22;DOLAR;150.00
CHICAGO;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;22-22;DOLAR;150.00
CHICAGO;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;22-22;DOLAR;150.00
CHICAGO;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;25-25;DOLAR;190.00
CHICAGO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;20-20;DOLAR;100.00
CHICAGO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;20-20;DOLAR;100.00
CHICAGO;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;21-21;DOLAR;149.00
CHITTAGONG;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;66-66;DOLAR;68.00
CHITTAGONG;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;60-60;DOLAR;170.00
CHITTAGONG;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;65-65;DOLAR;45.00
CHONGQING;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;53.00
CHONGQING;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;43-43;DOLAR;41.00
CHONGQING;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;45-45;DOLAR;30.00
CINCINNATI;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;22-22;DOLAR;226.00
CLEVELAND;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;28-28;DOLAR;190.00
CLEVELAND;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;23-23;DOLAR;221.00
COCHIN;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;70-70;DOLAR;78.00
COCHIN;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;60-60;DOLAR;170.00
COLOMBO;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;52-52;DOLAR;58.00
COLOMBO;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;60-60;DOLAR;135.00
COLOMBO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;65-65;DOLAR;60.00
COLON FREE ZONE;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;4-4;DOLAR;30.00
COLON FREE ZONE;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;6;DOLAR;45.00
COLON FREE ZONE;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;6;DOLAR;45.00
COLON FREE ZONE;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;5-5;DOLAR;50.00
COLUMBUS;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;23-23;DOLAR;221.00
COPENHAGEN;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;34-34;EUROS;66.00
CURITIBA;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;25-25;DOLAR;60.00
CURITIBA;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;30-30;DOLAR;50.00
DALIAN;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;57-57;DOLAR;23.00
DALIAN;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;43-43;DOLAR;130.00
DALIAN;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;25.00
DALLAS;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;21-21;DOLAR;170.00
DALLAS;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;22-22;DOLAR;198.00
DANANG;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;43.00
DETROIT;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;23-23;DOLAR;221.00
DONGGUAN;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;23.00
DONGGUAN;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;42-42;DOLAR;90.00
DONGGUAN;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;40-40;DOLAR;23.00
DUBAI;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;62-62;DOLAR;165.00
DUBLIN;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;32-32;EUROS;98.00
DURBAN;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;71-71;DOLAR;275.00
DURBAN;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;71-71;DOLAR;275.00
ESTAMBUL;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;75.00
ESTAMBUL;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;75.00
ESTAMBUL;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;75.00
ESTAMBUL;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;01/12/2025;31/12/2025;42-42;DOLAR;70.00
ESTAMBUL;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;40-40;DOLAR;85.00
ESTAMBUL;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;40-40;DOLAR;85.00
ESTAMBUL;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;44-44;DOLAR;75.00
ESTAMBUL;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;55-55;DOLAR;75.00
FOSHAN;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;23.00
FOSHAN;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;42-42;DOLAR;80.00
FOSHAN;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;20.00
FOSHAN;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;40-40;DOLAR;23.00
FUZHOU;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;33.00
FUZHOU;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;42-42;DOLAR;41.00
FUZHOU;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;43-43;DOLAR;100.00
FUZHOU;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;20.00
FUZHOU;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;43-43;DOLAR;38.00
GDANSK;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;EUROS;90.00
GDANSK;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;EUROS;90.00
GDYNIA;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;33-33;EUROS;90.00
GEMLIK;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;70.00
GENOVA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;36;EUROS;45.00
GENOVA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;36;EUROS;45.00
GENOVA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;36;EUROS;45.00
GENOVA;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;POSORJA;01/12/2025;31/12/2025;29-29;EUROS;40.00
GENOVA;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;POSORJA;01/12/2025;31/12/2025;29-29;EUROS;40.00
GENOVA;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;37;EUROS;45.00
GENOVA;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;29-29;EUROS;50.00
GOTEMBURGO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;40-40;EUROS;80.00
GOTEMBURGO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;40-40;EUROS;80.00
GUANGZHOU;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;40-40;DOLAR;13.00
GUANGZHOU;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;42-42;DOLAR;11.00
GUANGZHOU;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;6.00
GUANGZHOU;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;40-40;DOLAR;23.00
GUATEMALA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;25-25;DOLAR;300.00
GUATEMALA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;25-25;DOLAR;300.00
HAIFA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;60-60;DOLAR;150.00
HAIFA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;60-60;DOLAR;150.00
HAIPHONG;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;54-54;DOLAR;23.00
HAIPHONG;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;48-48;DOLAR;130.00
HAIPHONG;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;50-50;DOLAR;40.00
HAKATA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;51-51;DOLAR;33.00
HAMBURGO;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;35;EUROS;55.00
HAMBURGO;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;35;EUROS;55.00
HAMBURGO;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;35;EUROS;55.00
HAMBURGO;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;POSORJA;01/12/2025;31/12/2025;32-32;EUROS;40.00
HAMBURGO;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;POSORJA;01/12/2025;31/12/2025;32-32;EUROS;40.00
HAMBURGO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;30-30;EUROS;55.00
HAMBURGO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;30-30;EUROS;55.00
HAMBURGO;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;29-29;EUROS;50.00
HEFEI;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;41-41;DOLAR;41.00
HELSINKI;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;40-40;EUROS;110.00
HELSINKI;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;40-40;EUROS;110.00
HELSINKI;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;43-43;EUROS;75.00
HOCHIMINH;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;56-56;DOLAR;23.00
HOCHIMINH;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;47-47;DOLAR;130.00
HOCHIMINH;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;50-50;DOLAR;40.00
HONG KONG;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;37;DOLAR;8.00
HONG KONG;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;41-41;DOLAR;45.00
HONG KONG;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;35;DOLAR;6.00
HONG KONG;MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.;GUAYAQUIL;15/12/2025;31/12/2025;32-36;DOLAR;7.00
HOUSTON;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;18-18;DOLAR;180.00
HOUSTON;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;20-20;DOLAR;150.00
HOUSTON;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;20-20;DOLAR;150.00
HOUSTON;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;21-21;DOLAR;155.00
HUANGPU;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;18.00
HUANGPU;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;10.00
INDIANAPOLIS;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;22-22;DOLAR;221.00
ITAJAI;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;25-25;DOLAR;60.00
ITAJAI;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;30-30;DOLAR;50.00
IZMIR;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;70.00
IZMIR;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;55-55;EUROS;82.00
JAKARTA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;56-56;DOLAR;23.00
JAKARTA;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;52-52;DOLAR;135.00
JAKARTA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;55-55;DOLAR;35.00
JIANGMEN;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;42-42;DOLAR;90.00
JIANGMEN;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;50-50;DOLAR;30.00
JIANGMEN;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;40-40;DOLAR;24.00
JIANGMEN (GAOSHA);CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;23.00
JOHANNESBURG;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;58-58;DOLAR;275.00
JOHANNESBURG;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;58-58;DOLAR;275.00
KAOHSIUNG;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;51-51;DOLAR;18.00
KAOHSIUNG;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;40-40;DOLAR;6.00
KARACHI;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;55-55;DOLAR;130.00
KEELUNG;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;51-51;DOLAR;18.00
KEELUNG;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;45-45;DOLAR;55.00
KEELUNG;MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.;GUAYAQUIL;15/12/2025;31/12/2025;45-45;DOLAR;7.00
KOBE;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;51-51;DOLAR;23.00
KOBE;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;43-43;DOLAR;130.00
