ORIGEN;NAVIERA LCL;DESTINO;VIGENCIA DESDE ;VIGENCIA HASTA;TIEMPO DE TRANSITO;MONEDA;FLETE MARITIMO LCL
PHNOM PENH;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;54-54;DOLAR;150.00
PHOM PENH;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;49-49;DOLAR;48.00
PORT ELIZABETH;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;66-66;DOLAR;310.00
PORT ELIZABETH;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;66-66;DOLAR;310.00
PORT KELANG;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;63-63;DOLAR;23.00
PORT KELANG;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;55-55;DOLAR;135.00
PORT KELANG;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;54-54;DOLAR;35.00
PORTLAND;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;29-29;DOLAR;190.00
PORTLAND;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;20-20;DOLAR;189.00
PORTO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;EUROS;95.00
PORTO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;EUROS;95.00
PORTO;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;32-32;EUROS;56.00
PRAGA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;40-40;EUROS;65.00
PRAGA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;40-40;EUROS;65.00
PRAGA;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;36-36;EUROS;85.00
PT EVERGLADES;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;8-8;DOLAR;70.00
QINGDAO;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;39;DOLAR;8.00
QINGDAO;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;43-43;DOLAR;6.00
QINGDAO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;40-45;DOLAR;6.00
QINGDAO;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;31-38;DOLAR;8.00
QINGDAO;MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.;GUAYAQUIL;15/12/2025;31/12/2025;35-45;DOLAR;7.00
QUANZHOU;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;40-40;DOLAR;30.00
RIGA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;EUROS;85.00
RIGA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;EUROS;85.00
RIO DE JANEIRO;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;25-25;DOLAR;60.00
RIO DE JANEIRO;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;30-30;DOLAR;50.00
ROTTERDAM;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;POSORJA;01/12/2025;31/12/2025;30-30;EUROS;40.00
ROTTERDAM;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;POSORJA;01/12/2025;31/12/2025;30-30;EUROS;40.00
ROTTERDAM;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;30-30;EUROS;60.00
ROTTERDAM;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;30-30;EUROS;60.00
SAN ANTONIO;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;8;DOLAR;10.00
SAN ANTONIO;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;8;DOLAR;10.00
SAN ANTONIO;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;8;DOLAR;10.00
SAN ANTONIO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;8;DOLAR;15.00
SAN ANTONIO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;8;DOLAR;15.00
SAN ANTONIO;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;8-8;DOLAR;15.00
SAN FRANCISCO;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;19-19;DOLAR;168.00
SAN JOSE;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;25-25;DOLAR;286.00
SAN JOSE;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;25-25;DOLAR;286.00
SANSHAN;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;23.00
SANTOS;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;20-20;DOLAR;45.00
SANTOS;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;22;DOLAR;38.00
SANTOS;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;22;DOLAR;38.00
SANTOS;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;20-20;DOLAR;38.00
SEATTLE;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;20-20;DOLAR;192.00
SEMARANG;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;56-56;DOLAR;53.00
SEMARANG;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;60-60;DOLAR;135.00
SEMARANG;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;55-55;DOLAR;45.00
